"caseid","casestr","year","config","veh_no","veh_year","veh_make","veh_model","veh_wt","veh_plane","veh_severity","front_ab","edr_cdc","edr_deploy","edr_speed","edr_dV_long","event_no","sw_deploy"
"530002288","2004-47-042","2004","Rear end",1,2001,"CHEVROLET","MALIBU (1997+)","1390","Front","Moderate","Deployed during crash (as a result of impact)","Event# 1 12FDEW02","Deployment",58,-17.55,1,"Deployed"
"180007413","2004-04-110","2004","Angle/sideswipe",3,1995,"SATURN","SL","1061","Left","Moderate","Not deployed","Event# 2 03RBEE02","Non Deployment",NA,-4.39,2,"Not deployed"
"114006863","2004-05-170","2004","Rear end",1,1998,"CHEVROLET","ASTRO VAN","2102","Front","Moderate","Deployed during crash (as a result of impact)","Event# 1 12FDEW02","Deployment",NA,-8.34,1,"Deployed"
"162007312","2004-73-046","2004","Angle/sideswipe",1,2002,"PONTIAC","GRAND AM","1403","Right","Moderate","Not deployed","Event# 1 02RYEW02","Non Deployment",19,-4.39,1,"Not deployed"
"173007164","2004-12-023","2004","Rollover",1,1998,"CHEVROLET","MONTE CARLO (1995+) (FWD ONLY)","1469","Top","Moderate","Not deployed","Event# 1 00TDDO03","Non Deployment",NA,-0.66,1,"Not deployed"
"162007469","2004-73-091","2004","Object off road",1,2003,"SATURN","LS/ LS1/ LS2/L100/L200/L300","1366","Front","Moderate","Deployed, details unknown","Event# 1 12FLEW01","Deployment",NA,-7,1,"Deployed"
"173007121","2004-12-012","2004","Angle/sideswipe",1,1999,"GMC","S15/T15/SONOMA","1686","Left","Moderate","Not deployed","Event# 1 10LYEW02","Non Deployment",NA,-2.41,1,"Not deployed"
"173007121","2004-12-012","2004","Angle/sideswipe",2,2002,"SATURN","SC","1102","Front","Moderate","Deployed during crash (as a result of impact)","Event# 1 12FDEW02","Deployment",32,-23.26,1,"Deployed"
"169007473","2004-11-038","2004","Rollover",1,2003,"PONTIAC","GRAND PRIX (FWD)","1582","Top","Moderate","Not deployed","Event# 1 00TDDO03","Non Deployment",NA,-4.83,1,"Not deployed"
"199007449","2004-73-085","2004","Angle/sideswipe",1,2002,"CHEVROLET","MALIBU (1997+)","1397","Left","Moderate","Deployed during crash (as a result of impact)","Event# 1 09LFEW04","Deployment",12,-9.65,1,"Deployed"
"174006586","2004-13-008","2004","Head-on",1,2002,"PONTIAC","GRAND PRIX (FWD)","1535","Front","Minor","Not deployed","Event# 1 12FDEW01","Non Deployment",NA,0,1,"Not deployed"
"174006905","2004-13-109","2004","Rear end",2,2002,"BUICK","LESABRE/CENTURION/WILDCAT","1618","Back","Severe","Not deployed","Event# 1 06BZEW06","Non Deployment",13,0,1,"Not deployed"
